DOEID,NWEIGHT,REGIONC,DIVISION,UATYP10,HDD65,CDD65,TYPEHUQ,YEARMADERANGE,TOTSQFT_EN,TOTHSQFT,TOTCSQFT,STORIES,NCOMBATH,NHAFBATH,BEDROOMS,TOTROOMS,PRKGPLC1,WINDOWS,WINFRAME,TYPEGLASS,ADQINSUL,DRAFTY,HIGHCEIL,CELLAR,CRAWL,CONCRETE,BASEFIN,ATTIC,ATTICFIN,WALLTYPE,ROOFTYPE,FUELHEAT,EQUIPM,EQUIPAGE,FUELAUX,NOHEATBROKE,NOHEATBULK,NOHEATDAYS,HEATCNTL,TEMPHOME,TEMPNITE,TEMPGONE,ACEQUIPM_PUB,ACEQUIPAGE,BTUEL,BTUNG,BTULP,BTUFO,TOTALBTU,KWH,CUFEETNG,GALLONLP,GALLONFO,TOTALBTUSPH,DOLLAREL,DOLLARNG,DOLLARLP,DOLLARFO,TOTALDOL,NHSLDMEM,HHAGE,HHSEX,EDUCATION,ELPAY,NGPAY,PAYHELP,SCALEE,SCALEG,NWEIGHT1,NWEIGHT2,NWEIGHT3,NWEIGHT4,NWEIGHT5,NWEIGHT6,NWEIGHT7,NWEIGHT8,NWEIGHT9,NWEIGHT10,NWEIGHT11,NWEIGHT12,NWEIGHT13,NWEIGHT14,NWEIGHT15,NWEIGHT16,NWEIGHT17,NWEIGHT18,NWEIGHT19,NWEIGHT20,NWEIGHT21,NWEIGHT22,NWEIGHT23,NWEIGHT24,NWEIGHT25,NWEIGHT26,NWEIGHT27,NWEIGHT28,NWEIGHT29,NWEIGHT30,NWEIGHT31,NWEIGHT32,NWEIGHT33,NWEIGHT34,NWEIGHT35,NWEIGHT36,NWEIGHT37,NWEIGHT38,NWEIGHT39,NWEIGHT40,NWEIGHT41,NWEIGHT42,NWEIGHT43,NWEIGHT44,NWEIGHT45,NWEIGHT46,NWEIGHT47,NWEIGHT48,NWEIGHT49,NWEIGHT50,NWEIGHT51,NWEIGHT52,NWEIGHT53,NWEIGHT54,NWEIGHT55,NWEIGHT56,NWEIGHT57,NWEIGHT58,NWEIGHT59,NWEIGHT60,A_heated,E_heat_kbtu,E_heat_btu,E_heat_therm,E_heat_kwh_equiv,Thermal_Intensity_I,envelope_score,envelope_class,climate_zone,hdd_band,year_built_cat,housing_type,division_name,region_name,building_age,heating_equip_age,heating_equip_age_unknown,log_sqft,hdd_sqft_interaction,heating_per_sqft
100001,3284.1036678,WEST,Mountain South,U,3844,1679,2,4,2100,2100,2100,1.0,3,0,4,8,1.0,4,3,2,2,3,0.0,0.0,0.0,1.0,,0.0,,1,5.0,1.0,3.0,4.0,,0,0,,1.0,70.0,68.0,70.0,1.0,3.0,42723.28,101924.43,0.0,0.0,144647.71,12521.48,1217.39,0.0,0.0,73942.18,1955.06,701.83,0.0,0.0,2656.89,2,65,1,5,1,1.0,,0,0,3273.0530811,3349.1387247,3344.8764475,3437.2840761,3415.5816449,3354.8132832,3372.3421143,3364.0351734,3361.9115385,3301.5691433,3211.2906831,3500.4947724,3313.7538055,3359.1096298,3423.6823963,3383.6010546,3312.1117948,3324.3832105,3366.6444068,3326.6431806,3339.9102663,3292.1970749,3277.6973538,3340.4061556,3386.4449291,3300.5743416,3311.5457397,3347.6369506,3355.6381228,3322.4232048,3255.8400784,3317.9371563,3401.8106256,3363.5919692,3303.5275942,3333.026749,3389.8691231,3381.5025566,3328.893363,3292.8291116,3295.0892523,3413.5928269,3263.7099841,3342.4464078,3275.2739607,3364.2479592,3336.0662605,3329.1508463,3348.0614189,3357.2312019,3335.1882297,3240.1324266,3429.7284611,3294.0841906,3397.7127455,3292.6097738,0.0,3369.7683165,3358.1630519,3404.0310925,2100,73942.18,73942180.0,739.4218,21671.213364595544,9.159875625588425,11.0,good,mixed,2000-4000,1970-1979,Single-family detached,Mountain South,WEST,45,13.0,0,7.650168700845001,8.0724,35210.561904761904
100003,5669.0021418,WEST,Mountain South,U,3819,1696,5,3,900,900,900,,1,0,1,4,,1,2,1,2,4,0.0,,,,,,,1,,1.0,2.0,6.0,,0,0,,1.0,69.0,67.0,68.0,1.0,5.0,8146.63,22603.08,0.0,0.0,30749.71,2387.64,266.93,0.0,0.0,16993.72,334.51,188.14,0.0,0.0,522.65,1,82,2,4,1,1.0,,0,0,5793.3530325,5913.554129,5762.742949,5870.261194,5720.6689371,5662.9393068,5699.5363579,5704.0269948,5667.6697868,5793.3245719,5806.3211014,5650.3944136,5648.4612665,5828.711885,5641.8868727,5717.846554,5968.7131375,5828.3696566,5814.049095,5697.4468463,5686.768537,5738.9461771,5944.6491381,5819.996237,5823.0750593,5650.1882706,5862.1158306,5706.9087976,5618.6149032,5795.544138,5994.5442948,0.0,5637.8718384,5619.039925,5652.2891591,5834.1706558,5712.1980978,5765.4216689,5887.3384279,5649.8093112,5957.7482623,5592.6191414,6035.47192,5732.3842834,5876.6963902,5653.5109048,5763.4579739,5928.9681037,5772.333192,5785.4515895,5635.5612196,5944.3297994,5683.5004019,5735.6310458,5674.5644389,5660.8542712,5917.1929149,5571.0153396,5887.0922427,5837.8460264,900,16993.72,16993720.0,169.9372,4980.5744431418525,4.944202961799191,6.0,medium,mixed,2000-4000,1960-1969,Apartment (5+ units),Mountain South,WEST,55,,1,6.803505257608338,3.4371,18881.911111111112
100004,5294.239003,SOUTH,South Atlantic,U,2614,1718,2,5,2100,2100,2100,2.0,2,1,2,9,1.0,5,3,2,2,4,1.0,0.0,1.0,0.0,,0.0,,3,5.0,1.0,3.0,3.0,5.0,0,0,,1.0,68.0,68.0,68.0,1.0,3.0,31646.53,55118.66,0.0,0.0,86765.19,9275.07,552.91,0.0,0.0,42812.12,1424.86,636.91,0.0,0.0,2061.77,2,70,2,3,1,1.0,,0,0,5361.1464238,5361.7064352,5371.0105583,5392.8457666,5327.6174751,5353.9566211,5325.3163333,5375.7320933,5391.3794683,5500.6280564,5427.3196309,5384.4419872,5302.084568,5362.2260468,5383.1359247,5380.9161488,5418.3000222,5356.270898,5343.1874023,5360.4088384,5336.3228141,5389.8301498,5397.0928768,5448.088819,5382.1108558,5386.7098242,5351.0816203,5371.4387615,5361.5719035,5381.2181326,5319.7279349,5338.5576558,0.0,5379.5228324,5363.2767165,5476.865581,5386.3332175,5326.4022632,5420.5396193,5370.1888087,5339.3228133,5328.7878535,5409.4346717,5416.4883471,5453.165318,5449.443723,5375.5514626,5407.8338435,5399.7790099,5359.4078769,5447.618775,5344.4534241,5437.8031407,5377.8982135,5357.4697545,5421.0248192,5365.2297089,5402.0572078,5402.7717029,5350.8595038,2100,42812.12,42812120.0,428.1212,12547.514654161781,7.799052719787226,9.0,medium,mild,2000-4000,1980-1989,Single-family detached,South Atlantic,SOUTH,35,8.0,0,7.650168700845001,5.4894,20386.72380952381
100005,9935.4651138,NORTHEAST,Middle Atlantic,U,4219,1363,5,3,800,800,800,,1,0,1,3,,1,2,2,2,3,0.0,,,,,,,7,,1.0,3.0,4.0,,0,0,,1.0,68.0,68.0,68.0,1.0,4.0,20027.42,39099.51,0.0,0.0,59126.93,5869.7,376.68,0.0,0.0,8818.47,1087.0,376.04,0.0,0.0,1463.04,2,30,2,5,1,1.0,,0,0,10047.545121,10261.681539,10036.521572,9960.9530216,10107.863032,10298.428416,10064.709331,10096.508854,10321.423884,9943.5472944,10266.592909,10127.061212,10240.974855,9871.649182,10275.303143,9921.1989291,10311.952015,10004.213078,10437.297238,10100.730153,9981.6350785,10000.278351,10179.723095,9825.6999813,10149.38556,0.0,10140.603745,9948.403467,10064.70837,10082.92725,10132.976842,9978.3703467,10213.074797,9964.3374166,10070.847058,9987.9466714,10120.313927,10023.635858,10023.918812,10184.5272,10069.084055,9958.7206754,10352.484695,10091.807146,10227.528987,10069.383555,9995.6858783,10197.608347,10093.620068,10196.250767,10017.093737,9954.1418086,10050.960871,10018.843934,10309.727657,10142.762888,10176.828115,10043.143053,10247.910535,10110.300599,800,8818.47,8818470.0,88.1847,2584.5457209847596,2.6127251718416686,10.0,medium,mixed,4000-6000,1960-1969,Apartment (5+ units),Middle Atlantic,NORTHEAST,55,13.0,0,6.68586094706836,3.3752,11023.0875
100006,7249.5395615,SOUTH,West South Central,U,901,3558,2,6,4520,3010,3010,2.0,2,1,4,8,0.0,4,1,1,1,4,1.0,0.0,0.0,1.0,,1.0,1.0,1,5.0,1.0,3.0,1.0,7.0,0,0,,3.0,76.0,68.0,76.0,1.0,1.0,48967.79,36432.85,0.0,0.0,85400.64,14351.64,357.42,0.0,0.0,14561.39,1895.66,439.42,0.0,0.0,2335.08,4,54,1,4,1,1.0,0.0,3,0,7339.1845217,7434.6884986,7335.6603504,7426.3893303,7309.2383249,7472.039081,7381.0146117,7364.8092649,7335.5505909,7318.7904297,7381.7793505,7318.1788084,7255.5276821,7405.8326919,7463.3566442,7380.2763299,7386.0229804,7499.7184229,7510.69618,7367.1502612,7427.5333301,7353.5155443,7182.6910709,7465.9866646,7245.855426,7309.1578749,7291.370503,7500.5097294,7336.3620714,7306.935101,7314.8119837,7302.5352666,7326.2395416,7241.1127368,0.0,7355.7123194,7358.4909896,7390.966007,7312.1456253,7328.7473982,7323.158234,7434.5631591,7337.4258624,7460.0846537,7415.2612453,7398.4149102,7326.6692956,7307.5270041,7406.5816452,7300.6775579,7379.108323,7498.3911113,7417.9774135,7230.1129013,7516.9360721,7370.3232544,7383.274822,7507.0966369,7335.0218939,7594.6416701,3010,14561.39,14561390.0,145.6139,4267.699296600234,5.369224302270272,9.0,medium,mild,<2000,1990-1999,Single-family detached,West South Central,SOUTH,25,1.0,0,8.010027528481734,2.71201,4837.671096345515
100007,5683.6800154,SOUTH,West South Central,U,3148,2128,2,2,2100,1200,1200,2.0,2,0,3,5,0.0,4,2,2,3,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1,5.0,1.0,3.0,3.0,5.0,0,0,2.0,2.0,74.0,74.0,65.0,1.0,3.0,49406.95,82468.08,0.0,0.0,131875.03,14480.35,822.15,0.0,0.0,80477.74,1418.04,692.46,0.0,0.0,2110.5,6,40,1,2,1,1.0,0.0,2,0,5732.6855297,5831.2783554,5663.790121,5874.0467176,5906.4213664,5734.4991138,5667.5346722,5745.6373736,5700.601363,5635.3181441,5733.5239306,5726.0664331,5736.8085075,5911.0413336,5879.4044182,5719.2122786,5749.8328136,5753.4420169,5981.741385,5748.3787042,5728.2694198,5792.3822374,5868.5055718,5692.6824812,5847.3247593,5694.7305577,5730.9289783,5856.1082364,5761.256066,5800.9558594,5744.2703367,5715.3568006,5741.7937098,5766.6127951,5752.182666,5676.0820023,5692.6758174,5821.1057785,5843.8646838,5839.3614925,5815.6792433,5757.5488035,5929.1459261,5757.5666037,5887.6904975,5753.6533541,0.0,5781.8010386,5704.4199795,5696.8172126,5637.2029933,5755.0004681,5763.2661484,5699.9523568,5774.001783,5842.9418653,5880.7576672,5769.9255497,5739.0543822,5907.4678458,1200,80477.74,80477740.0,804.7774,23586.676436107853,21.30393371452774,8.0,medium,mixed,2000-4000,1950-1959,Single-family detached,West South Central,SOUTH,65,8.0,0,7.0909098220799835,3.7776,67064.78333333334
100011,9945.3754715,WEST,Pacific,U,1467,2108,2,4,1630,1630,1630,1.0,2,0,2,7,1.0,3,2,1,2,4,1.0,0.0,0.0,1.0,,1.0,0.0,4,1.0,1.0,3.0,3.0,,0,0,,4.0,72.0,72.0,70.0,1.0,1.0,26048.55,32447.7,0.0,0.0,58496.25,7634.39,332.05,0.0,0.0,22218.75,65.11,422.7,0.0,0.0,487.81,1,69,1,3,1,1.0,,0,0,10032.254268,10270.302522,9997.7341213,10111.135404,10207.352306,10140.268335,10043.937382,10175.81827,10135.776546,9966.2060365,10021.184302,10024.940548,10094.668069,10142.847281,10101.105949,10057.744834,10089.258995,10074.855393,10168.124134,10325.517014,10004.49513,10060.252698,9953.1878992,10007.597004,0.0,10036.156409,9951.0886355,10100.781034,10354.000537,10288.68098,9956.2711968,10113.853487,10371.711377,10036.406152,10120.473394,10194.839992,10101.576371,10204.558178,10116.895283,10195.602627,10034.688517,10107.392358,10257.57824,10191.541734,10050.782309,10036.870996,10129.45422,10005.846768,10213.159986,10070.073352,10262.990608,9976.9001814,9988.4577954,9988.0678221,10252.074458,10088.023636,10418.29661,10251.910987,10191.036681,10128.243023,1630,22218.75,22218750.0,222.1875,6511.943141852286,9.291843878203922,7.0,medium,mild,<2000,1970-1979,Single-family detached,Pacific,WEST,45,8.0,0,7.396948602621014,2.39121,13631.134969325154
100012,11680.482343,SOUTH,West South Central,U,2148,3037,2,8,1540,1540,1540,1.0,3,0,5,9,0.0,4,1,2,2,4,1.0,0.0,0.0,1.0,,1.0,0.0,2,2.0,1.0,7.0,3.0,,0,0,,1.0,74.0,74.0,74.0,1.0,3.0,32951.87,40915.24,0.0,0.0,73867.11,9657.64,460.04,0.0,0.0,31031.24,1136.61,436.31,0.0,0.0,1572.92,5,53,1,2,1,1.0,,0,0,12076.928084,11891.664989,12238.260509,11697.407818,11810.607901,11916.45931,11920.460194,11757.433421,11949.132445,12176.621622,11758.746207,11997.290369,11715.584075,11797.272955,11855.975601,0.0,11732.413586,11799.510991,11893.497945,11980.430891,11845.453231,11911.549485,11685.343226,11718.732434,11885.094015,11817.387006,12071.000197,11804.231794,11799.270565,12031.131237,11868.264018,11677.549175,11791.339403,11922.661942,11864.671148,11877.70855,11989.909912,11954.748629,11882.294496,11760.102695,11824.122203,11792.200102,11803.363185,11930.319073,11868.448598,11992.046281,12009.769858,11821.455173,11853.065159,12001.852707,11731.575688,11880.965883,11910.562009,11791.183823,12052.295668,11919.748366,12058.556369,11791.903282,12079.936555,11999.649172,1540,31031.24,31031240.0,310.3124,9094.736225087925,9.380891919998065,11.0,good,mild,2000-4000,2010-2015,Single-family detached,West South Central,SOUTH,7,8.0,0,7.340186835320115,3.30792,20150.155844155845
100013,4740.8423662,SOUTH,West South Central,U,1246,2671,2,4,2000,2000,2000,1.0,2,0,4,8,1.0,4,2,1,2,4,1.0,0.0,0.0,1.0,,1.0,0.0,1,5.0,1.0,3.0,6.0,,0,0,,1.0,74.0,74.0,74.0,1.0,3.0,32891.43,51087.93,0.0,0.0,83979.36,9639.93,500.61,0.0,0.0,39120.66,1004.2,651.26,0.0,0.0,1655.46,2,63,2,4,1,1.0,,0,0,4818.9338262,4789.3471058,4855.3246941,4779.2222283,4805.7553763,4830.446259,4760.6802173,4781.2218798,4862.4657631,4801.214471,4900.6606964,4817.9096597,4941.5288354,4757.8063855,4792.5173198,4854.230476,4883.7015117,4839.4553249,4748.8204276,4746.5464523,4841.764629,4847.3161034,4769.1585654,4874.2069764,4811.2474812,4831.4835302,4753.6831589,4846.6252717,4776.5862844,4805.4199118,4831.5652305,4830.8228182,4855.2097575,4804.9178531,4865.370925,0.0,4800.1666177,4799.5763666,4950.3831356,4781.5014391,4898.5986798,4737.4494631,4829.1814141,4802.5998081,4831.3534683,4853.9296179,4768.5485536,4854.2964572,4874.659401,4747.5424499,4831.1943765,4914.5921928,4830.8035024,4883.8759483,4739.1775828,4755.2003487,4801.908545,4820.056522,4850.4006366,4844.963376,2000,39120.66,39120660.0,391.2066,11465.60961313013,15.698499197431781,7.0,medium,mild,<2000,1970-1979,Single-family detached,West South Central,SOUTH,45,,1,7.601402334583733,2.492,19560.33
100018,3820.9663946,WEST,Mountain South,U,5740,562,2,6,2650,2650,2650,1.0,2,0,3,6,1.0,6,1,2,2,3,1.0,0.0,0.0,1.0,,1.0,0.0,4,5.0,1.0,2.0,6.0,,0,0,,1.0,68.0,68.0,68.0,6.0,6.0,19701.17,105881.18,0.0,0.0,125582.35,5774.08,1300.16,0.0,0.0,61902.73,622.02,700.87,0.0,0.0,1322.89,2,83,2,5,1,1.0,,0,0,3893.0467059,4033.682375,3877.1960897,3860.1837057,3846.455101,3854.0500454,3867.2326527,3884.158369,3969.1237754,3907.9349817,3765.6065344,3851.7512424,3820.7092006,3842.7174223,3877.6340833,3852.471446,3891.5159461,3854.5207524,3911.8737246,3869.028712,3915.6781596,3884.6425396,3835.1361095,3804.4213612,3817.7671624,3892.8102204,3854.7338607,3850.5882232,3914.6674408,3885.2371465,3900.5267553,3870.9792914,3844.6945311,3955.6016617,3835.6035963,3829.9792864,3846.6870427,3890.0361005,3838.6124246,3882.7717858,3830.5335928,3834.2765546,4002.7712984,3946.3620858,3832.7964578,3852.6084178,3809.4535667,3972.7694755,3893.7971257,3814.4319253,3910.919008,3930.2784279,3886.8692121,0.0,3908.9499597,3878.3143134,4007.6829364,3906.6158508,3848.8330635,3886.9446117,2650,61902.73,61902730.0,619.0273,18142.652403282533,4.069602918940241,12.0,good,mixed,4000-6000,1990-1999,Single-family detached,Mountain South,WEST,25,,1,7.8826922062890254,15.211,23359.52075471698
